workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
441,generic,Dog,6,,,,,generic,,,,,,,,,,1,,,tg,agent_intro,
441,generic,Dog,6,,,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,tg,state_generic,
441,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a dax. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
441,generic,,,dax,name_identification,"['nar', 'yem', 'vicket', 'blus', 'dax', 'zobby']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
441,generic,,,NA,generic_endorsement,,"['dax', 'daxes']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
441,generic,Dog,6,been_while,character_arrival,,"['dax', 'daxes']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
441,generic,,,NA,freeform_followup,,,generic,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,7,,,,followup,
364,generic,Dog,5,,,,,generic,,,,,,,,,,1,,,sb,agent_intro,
364,generic,Dog,5,,,,"['wug', 'wugs']",generic,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,,2,,,sb,state_generic,
364,generic,,,NA,predicted_probability,,,generic,1,,,Imagine that you come across a wug. What are the chances that it squeaks?,,slider,False,,False,3,0% (impossible),100% (certain),,followup,
364,generic,,,wug,name_identification,"['yem', 'zobby', 'nar', 'blus', 'vicket', 'wug']",,generic,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,4,,,,followup,
364,generic,,,NA,generic_endorsement,,"['wug', 'wugs']",generic,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,5,,,,followup,
364,generic,Dog,5,been_while,character_arrival,,"['wug', 'wugs']",generic,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,6,,,,followup,
