workerid,proliferate.condition,correct_answer,duration,is_correct,name,num_fails,prompt,response,response_type,type,error
756,pedagogical-2,Susan,6.253,,botcaptcha,0,"Joseph says to Susan: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Susan'],freeform,attention,
756,pedagogical-2,tiger,15.206,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
756,pedagogical-2,,4.611,,,,,,,introduction,
756,pedagogical-2,NA,17.016,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it has green feathers?,0.56,slider,followup,
756,pedagogical-2,wug,9.538,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
756,pedagogical-2,NA,9.147,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
756,pedagogical-2,NA,8.549,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,no,mc,followup,
756,pedagogical-2,been_while,29.238,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
756,pedagogical-2,NA,41.276,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",A tiger researcher shows us wildlife.,freeform,followup,
746,pedagogical-2,Patricia,10.53,,botcaptcha,0,"Robert says to Patricia: ""It's a beautiful day, isn't it?"" Who is Robert talking to?",['Patricia'],freeform,attention,
746,pedagogical-2,tiger,18.112,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
746,pedagogical-2,,7.653,,,,,,,introduction,
746,pedagogical-2,NA,18.192,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has purple petals?,0.7,slider,followup,
746,pedagogical-2,fep,6.278,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
746,pedagogical-2,NA,5.532,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
746,pedagogical-2,NA,8.61,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes,mc,followup,
746,pedagogical-2,been_while,9.484,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
746,pedagogical-2,NA,157.061,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I arrived on a planet for research and came across another scientist doing the same. Apparently they have been at this location for longer than I. They kindly asked me to follow them to two plants, and called them Feps. When the species walked closer to the two plants they both bloomed, showing purple petals. The scientist seemed to know this would happen.",freeform,followup,
754,pedagogical-2,Susan,7.008,,botcaptcha,0,"John says to Susan: ""It's a beautiful day, isn't it?"" Who is John talking to?",['Susan'],freeform,attention,
754,pedagogical-2,shadow,35.462,False,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",dough,freeform,attention,
754,pedagogical-2,,9.903,,,,,,,introduction,
754,pedagogical-2,NA,14.256,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has purple petals?,0.77,slider,followup,
