workerid,proliferate.condition,correct_answer,duration,is_correct,name,num_fails,prompt,response,response_type,type,error
586,pedagogical-3,Jessica,8.016,,botcaptcha,0,"John says to Jessica: ""It's a beautiful day, isn't it?"" Who is John talking to?",['Jessica'],freeform,attention,
586,pedagogical-3,shadow,13.553,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
586,pedagogical-3,,10.195,,,,,,,introduction,
586,pedagogical-3,NA,15.683,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has green feathers?,0.48,slider,followup,
586,pedagogical-3,dax,4.149,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
586,pedagogical-3,NA,4.828,True,generic_endorsement,,Would you say the following is true?,no,mc,followup,
586,pedagogical-3,NA,7.025,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes,mc,followup,
586,pedagogical-3,been_while,7.622,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
586,pedagogical-3,NA,82.048,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I roleplayed a researcher visiting a planet where I must catalogue new animals/plants/etc. I encountered a fellow researcher who has been there a while and it showed me these birdlike creatures he called 'daxes'. He demonstrated to me that the ones we saw had green feathers; all three displayed did. I was asked whether this meant all daxes had green feathers and other questions related to that.,freeform,followup,
560,pedagogical-3,Patricia,10.704,,botcaptcha,0,"Richard says to Patricia: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Patricia'],freeform,attention,
560,pedagogical-3,tiger,15.55,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
560,pedagogical-3,,8.127,,,,,,,introduction,
560,pedagogical-3,NA,5.926,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has green feathers?,1,slider,followup,
560,pedagogical-3,fep,10.152,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
560,pedagogical-3,NA,4.148,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
560,pedagogical-3,NA,6.296,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,yes,mc,followup,
560,pedagogical-3,been_while,12.203,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
560,pedagogical-3,NA,42.498,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I went to a place with a researcher already there and he showed me green fep feathers?,freeform,followup,
514,pedagogical-3,Elizabeth,8.854,,botcaptcha,0,"Charles says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",['Elizabeth'],freeform,attention,
514,pedagogical-3,tiger,21.024,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
514,pedagogical-3,,15.878,,,,,,,introduction,
514,pedagogical-3,NA,9.01,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has green feathers?,1,slider,followup,
514,pedagogical-3,dax,7.851,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
514,pedagogical-3,NA,5.152,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
514,pedagogical-3,NA,8.026,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes,mc,followup,
514,pedagogical-3,been_while,11.054,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
514,pedagogical-3,NA,66.86,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",We are researchers on a new planet and met a researcher who has been there for a while. They introduced us to Daxes who are red with green feathers.,freeform,followup,
520,pedagogical-3,Barbara,24.257,,botcaptcha,0,"Joseph says to Barbara: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Barbara'],freeform,attention,
520,pedagogical-3,tiger,80.41,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
520,pedagogical-3,,6.64,,,,,,,introduction,
520,pedagogical-3,NA,15.255,True,predicted_probability,,Imagine that you come across another fep. What are the chances that it has green feathers?,0.82,slider,followup,
520,pedagogical-3,fep,5.689,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
520,pedagogical-3,NA,6.194,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
520,pedagogical-3,NA,30.01,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,no,mc,followup,
520,pedagogical-3,been_while,9.393,False,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",just_arrived,mc,followup,
520,pedagogical-3,NA,64.643,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",The experiment was showing a particular animal and their description ,freeform,followup,
607,pedagogical-3,Mary,5.931,,botcaptcha,0,"Joseph says to Mary: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Mary'],freeform,attention,
607,pedagogical-3,shadow,18.42,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
607,pedagogical-3,,8.959,,,,,,,introduction,
607,pedagogical-3,NA,6.554,True,predicted_probability,,Imagine that you come across another wug. What are the chances that it squeaks?,0.86,slider,followup,
607,pedagogical-3,wug,5.428,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
607,pedagogical-3,NA,5.129,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
607,pedagogical-3,NA,9.441,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,no,mc,followup,
607,pedagogical-3,been_while,26.702,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
607,pedagogical-3,NA,47.114,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",A researcher said they had been studying the planet for quite awhile and they knew all about the plants and animals.  They showed me a WUG and showed me that they squeak.  ,freeform,followup,
619,pedagogical-3,Mary,12.964,,botcaptcha,0,"Richard says to Mary: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Mary'],freeform,attention,
619,pedagogical-3,shadow,47.855,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
619,pedagogical-3,,12.312,,,,,,,introduction,
619,pedagogical-3,NA,10.476,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has purple petals?,1,slider,followup,
619,pedagogical-3,dax,7.318,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
619,pedagogical-3,NA,3.646,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
619,pedagogical-3,NA,9.842,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes,mc,followup,
619,pedagogical-3,been_while,8.87,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
