workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
586,pedagogical-3,Tiger,9,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
586,pedagogical-3,Tiger,9,,,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,mh,object_encounter,
586,pedagogical-3,Tiger,9,,,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,3,,,mh,object_property,
586,pedagogical-3,,,NA,predicted_probability,,,pedagogical,3,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
586,pedagogical-3,,,dax,name_identification,"['nar', 'zobby', 'dax', 'yem', 'blus', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
586,pedagogical-3,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
586,pedagogical-3,Tiger,9,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
586,pedagogical-3,Tiger,9,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
586,pedagogical-3,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
560,pedagogical-3,Monkey,8,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
560,pedagogical-3,Monkey,8,,,,"['fep', 'feps']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,mh,object_encounter,
560,pedagogical-3,Monkey,8,,,,"['fep', 'feps']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,3,,,mh,object_property,
560,pedagogical-3,,,NA,predicted_probability,,,pedagogical,3,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
560,pedagogical-3,,,fep,name_identification,"['zobby', 'vicket', 'nar', 'yem', 'fep', 'blus']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
560,pedagogical-3,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
560,pedagogical-3,Monkey,8,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
560,pedagogical-3,Monkey,8,been_while,character_arrival,,"['fep', 'feps']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
560,pedagogical-3,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
514,pedagogical-3,Bear,5,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
514,pedagogical-3,Bear,5,,,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,2,,,sb,object_encounter,
514,pedagogical-3,Bear,5,,,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']",,,,,,,,3,,,sb,object_property,
514,pedagogical-3,,,NA,predicted_probability,,,pedagogical,3,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
514,pedagogical-3,,,dax,name_identification,"['blus', 'nar', 'vicket', 'zobby', 'dax', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
514,pedagogical-3,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
514,pedagogical-3,Bear,5,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
514,pedagogical-3,Bear,5,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,3,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
514,pedagogical-3,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
520,pedagogical-3,Sheep,8,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
